Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK_90,xG,npxG,xA,npxG+xA,xG_90,xA_90,xG+xA_90,npxG_90,npxG+xA_90
Paweł Dawidowicz\16bb656a,pl POL,DF,Hellas Verona,it Serie A,26-232,1995,15,13,1187,13.2,0,0,0,0,0,3,0,0,0,0,0,0,0.4,0.4,0.1,0.5,0.03,0.01,0.04,0.03,0.04
Craig Dawson\3e9e06cb,eng ENG,DF,West Ham,eng Premier League,31-246,1990,17,13,1253,13.9,0,1,0,0,0,3,0,0,0.07,0.07,0,0.07,1.2,1.2,0.5,1.6,0.08,0.03,0.12,0.08,0.12
Kevin De Bruyne\e46012d4,be BEL,MF,Manchester City,eng Premier League,30-193,1991,15,10,924,10.3,5,1,5,0,0,0,0,0.49,0.1,0.58,0.49,0.58,2.7,2.7,4.2,6.9,0.26,0.41,0.67,0.26,0.67
Konrad De La Fuente\4b77bb89,us USA,FWDF,Marseille,fr Ligue 1,20-175,2001,15,9,769,8.5,0,2,0,0,0,1,0,0,0.23,0.23,0,0.23,1,1,1.5,2.5,0.12,0.17,0.3,0.12,0.3
Sebastien De Maio\952a03fe,fr FRA,DF,Udinese,it Serie A,34-308,1987,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,0.28,0.28,0,0.28
Rodrigo De Paul\162efffd,ar ARG,MF,Atlético Madrid,es La Liga,27-228,1994,18,12,1070,11.9,0,1,0,0,0,4,0,0,0.08,0.08,0,0.08,0.6,0.6,1.7,2.3,0.05,0.15,0.19,0.05,0.19
Mattia De Sciglio\ae4e2852,it ITA,DF,Juventus,it Serie A,29-079,1992,8,5,351,3.9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.6,0.7,0.01,0.16,0.17,0.01,0.17
Lorenzo De Silvestri\e74f0e59,it ITA,DF,Bologna,it Serie A,33-229,1988,17,15,1243,13.8,3,1,3,0,0,3,0,0.22,0.07,0.29,0.22,0.29,1.1,1.1,1,2,0.08,0.07,0.15,0.08,0.15
Saulo Decarli\41df88b8,ch SUI,DF,Bochum,de Bundesliga,29-337,1992,1,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29,0,0.29,0.29,0.29
Troy Deeney\82e34b69,eng ENG,FW,Watford,eng Premier League,33-192,1988,2,0,25,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.5,1.45,0.32,1.77,1.45,1.77
Grégoire Defrel\854ee61a,mq MTQ,FW,Sassuolo,it Serie A,30-204,1991,20,6,704,7.8,0,1,0,0,0,3,0,0,0.13,0.13,0,0.13,2.1,2.1,1.1,3.2,0.27,0.14,0.41,0.27,0.41
Alessandro Deiola\7f267d66,it ITA,MF,Cagliari,it Serie A,26-159,1995,18,14,1108,12.3,2,0,2,0,0,3,0,0.16,0,0.16,0.16,0.16,0.9,0.9,1,1.9,0.07,0.08,0.16,0.07,0.16
Romain Del Castillo\0be95d34,fr FRA,MFFW,Rennes,fr Ligue 1,25-284,1996,3,0,28,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.38,0.16,0.55,0.38,0.55
Romain Del Castillo\0be95d34,fr FRA,FWMF,Brest,fr Ligue 1,25-284,1996,7,3,256,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.9,0.17,0.16,0.32,0.17,0.32
Thomas Delaine\8332db56,fr FRA,DF,Metz,fr Ligue 1,29-289,1992,13,12,1040,11.6,0,1,0,0,0,0,0,0,0.09,0.09,0,0.09,0.3,0.3,1.3,1.6,0.03,0.11,0.14,0.03,0.14
Thomas Delaney\fe641c1a,dk DEN,MF,Sevilla,es La Liga,30-126,1991,14,7,703,7.8,1,1,1,0,0,4,1,0.13,0.13,0.26,0.13,0.26,0.5,0.5,0.5,1,0.06,0.06,0.12,0.06,0.12
Thomas Delaney\fe641c1a,dk DEN,MF,Dortmund,de Bundesliga,30-126,1991,1,0,18,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sacha Delaye\e4448c8c,fr FRA,MF,Montpellier,fr Ligue 1,19-259,2002,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Filippo Delli Carri\d2e8fd9b,it ITA,DF,Salernitana,it Serie A,22-249,1999,2,1,135,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.1,0.04,0.14,0.1,0.14
Andy Delort\d33c706e,dz ALG,FW,Nice,fr Ligue 1,30-090,1991,14,11,1091,12.1,5,1,4,1,1,3,0,0.41,0.08,0.49,0.33,0.41,5.9,5.1,2.8,7.9,0.48,0.23,0.71,0.42,0.65
Andy Delort\d33c706e,dz ALG,FW,Montpellier,fr Ligue 1,30-090,1991,3,3,269,3,2,1,2,0,0,0,0,0.67,0.33,1,0.67,1,1.4,1.4,0.7,2.1,0.48,0.22,0.7,0.48,0.7
Fabian Delph\111c3236,eng ENG,MF,Everton,eng Premier League,32-047,1989,6,3,249,2.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.1,0.01,0.02,0.02,0.01,0.02
Moussa Dembélé\e7986081,fr FRA,FW,Lyon,fr Ligue 1,25-179,1996,11,7,712,7.9,4,1,3,1,1,2,0,0.51,0.13,0.63,0.38,0.51,3.9,3.3,1.3,4.5,0.5,0.16,0.65,0.42,0.57
Ousmane Dembélé\b19db005,fr FRA,FWDF,Barcelona,es La Liga,24-237,1997,5,3,317,3.5,0,2,0,0,0,0,0,0,0.57,0.57,0,0.57,0.4,0.4,1.2,1.6,0.12,0.34,0.46,0.12,0.46
Yusuf Demir\fa265f6d,at AUT,FW,Barcelona,es La Liga,18-219,2003,6,2,192,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.03,0.01,0.04,0.03,0.04
Merih Demiral\e3cceee6,tr TUR,DF,Atalanta,it Serie A,23-308,1998,13,13,1057,11.7,1,1,1,0,0,4,0,0.09,0.09,0.17,0.09,0.17,1.3,1.3,0.1,1.4,0.11,0.01,0.12,0.11,0.12
Kerem Demirbay\54b4dc4e,de GER,MF,Leverkusen,de Bundesliga,28-188,1993,17,13,1200,13.3,1,1,0,1,1,4,0,0.07,0.07,0.15,0,0.07,2,1.2,1.8,3,0.15,0.13,0.28,0.09,0.23
Ermedin Demirović\ed79b7d3,ba BIH,FWMF,Freiburg,de Bundesliga,23-288,1998,15,2,269,3,0,1,0,0,0,3,0,0,0.33,0.33,0,0.33,0.4,0.4,0.4,0.8,0.14,0.14,0.28,0.14,0.28
Diego Demme\dc3fa3b5,de GER,MF,Napoli,it Serie A,30-047,1991,10,3,321,3.6,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0.1,0.1,0,0.03,0.03,0,0.03
Jason Denayer\47af88b8,be BEL,DF,Lyon,fr Ligue 1,26-193,1995,14,11,912,10.1,3,0,3,0,0,2,0,0.3,0,0.3,0.3,0.3,1.4,1.4,0,1.4,0.14,0,0.14,0.14,0.14
Leander Dendoncker\5a7301ae,be BEL,MFFW,Wolves,eng Premier League,26-267,1995,15,7,699,7.8,0,1,0,0,0,3,0,0,0.13,0.13,0,0.13,0.6,0.6,0.7,1.4,0.08,0.09,0.18,0.08,0.18
Emmanuel Dennis\2c44a35d,ng NGA,FWMF,Watford,eng Premier League,24-053,1997,17,16,1303,14.5,8,5,8,0,0,6,0,0.55,0.35,0.9,0.55,0.9,4.2,4.2,1.7,5.9,0.29,0.11,0.41,0.29,0.41
Fabio Depaoli\d97f2e8d,it ITA,DF,Hellas Verona,it Serie A,24-258,1997,1,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fabio Depaoli\d97f2e8d,it ITA,MFDF,Sampdoria,it Serie A,24-258,1997,6,1,112,1.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Memphis Depay\8f696594,nl NED,FW,Barcelona,es La Liga,27-328,1994,15,15,1349,15,8,2,5,3,4,1,0,0.53,0.13,0.67,0.33,0.47,8.1,5.1,3.1,8.2,0.54,0.21,0.75,0.34,0.55
Mike van der Hoorn\25f50295,nl NED,DF,Arminia,de Bundesliga,29-084,1992,1,0,14,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arthur Desmas\e8c5dd4d,fr FRA,GK,Clermont Foot,fr Ligue 1,27-275,1994,13,13,1170,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sergiño Dest\5976f83e,us USA,DFFW,Barcelona,es La Liga,21-065,2000,12,11,967,10.7,0,3,0,0,0,0,0,0,0.28,0.28,0,0.28,1.5,1.5,2.7,4.2,0.14,0.25,0.39,0.14,0.39
Mattia Destro\d7d32194,it ITA,FW,Genoa,it Serie A,30-293,1991,12,11,897,10,8,0,8,0,0,2,0,0.8,0,0.8,0.8,0.8,3.6,3.6,0.2,3.7,0.36,0.02,0.37,0.36,0.37
Gerard Deulofeu\39583cfd,es ESP,FWMF,Udinese,it Serie A,27-300,1994,16,13,1117,12.4,6,2,6,0,0,3,0,0.48,0.16,0.64,0.48,0.64,3,3,2.9,6,0.24,0.24,0.48,0.24,0.48
Kiernan Dewsbury Hall\5c74c0f5,eng ENG,MF,Leicester City,eng Premier League,23-123,1998,9,4,438,4.9,0,2,0,0,0,1,0,0,0.41,0.41,0,0.41,0.6,0.6,0.4,1,0.12,0.08,0.2,0.12,0.2
Jacopo Dezi\e921b9db,it ITA,MF,Venezia,it Serie A,29-331,1992,1,0,16,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.21,0.15,0.35,0.21,0.35
Samuel Di Carmine\ef94dc2f,it ITA,FW,Hellas Verona,it Serie A,33-109,1988,1,0,36,0.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.07,0,0.07,0.07,0.07
Federico Di Francesco\1fca9171,it ITA,FWMF,Empoli,it Serie A,27-207,1994,14,11,911,10.1,4,0,4,0,0,1,0,0.4,0,0.4,0.4,0.4,2.1,2.1,1,3,0.2,0.09,0.3,0.2,0.3
Giovanni Di Lorenzo\230a2fac,it ITA,DF,Napoli,it Serie A,28-156,1993,20,20,1800,20,1,1,1,0,0,3,0,0.05,0.05,0.1,0.05,0.1,0.5,0.5,0.9,1.5,0.03,0.05,0.07,0.03,0.07
Ángel Di María\19cda00b,ar ARG,FWMF,Paris S-G,fr Ligue 1,33-327,1988,13,11,949,10.5,3,3,3,0,0,1,0,0.28,0.28,0.57,0.28,0.57,3.3,3.3,3.3,6.6,0.31,0.31,0.62,0.31,0.62
Francesco Di Mariano\35a2557c,it ITA,FW,Venezia,it Serie A,25-262,1996,1,1,62,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.08,0.08,0,0.08
Francesco Di Tacchio\b5c3ff9f,it ITA,MF,Salernitana,it Serie A,31-262,1990,15,11,985,10.9,0,0,0,0,0,2,0,0,0,0,0,0,0.4,0.4,0.1,0.5,0.03,0.01,0.04,0.03,0.04
Boulaye Dia\244bc2c8,sn SEN,FW,Villarreal,es La Liga,25-052,1996,15,9,874,9.7,4,4,4,0,0,2,0,0.41,0.41,0.82,0.41,0.82,4.5,4.5,1.3,5.8,0.47,0.13,0.6,0.47,0.6
Moussa Diaby\aeed5c06,fr FRA,FW,Leverkusen,de Bundesliga,22-184,1999,15,15,1258,14,5,6,5,0,0,9,1,0.36,0.43,0.79,0.36,0.79,2.4,2.4,4.6,7,0.17,0.33,0.5,0.17,0.5
Yadaly Diaby\5630a6e0,fr FRA,FW,Clermont Foot,fr Ligue 1,21-151,2000,2,0,34,0.4,0,0,0,0,0,1,1,0,0,0,0,0,0.1,0.1,0,0.1,0.18,0,0.18,0.18,0.18
Mouctar Diakhaby\d2110326,fr FRA,DF,Valencia,es La Liga,25-019,1996,15,7,746,8.3,0,1,0,0,0,6,0,0,0.12,0.12,0,0.12,0.2,0.2,0.1,0.3,0.02,0.01,0.03,0.02,0.03
Ibrahim Diakité\d8c19a60,fr FRA,MF,Reims,fr Ligue 1,18-068,2003,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abdou Diallo\fc62f087,sn SEN,DF,Paris S-G,fr Ligue 1,25-248,1996,9,9,766,8.5,0,1,0,0,0,1,0,0,0.12,0.12,0,0.12,0.1,0.1,0.6,0.6,0.01,0.06,0.08,0.01,0.08
Habib Diallo\6605d143,sn SEN,FW,Strasbourg,fr Ligue 1,26-203,1995,17,10,996,11.1,8,1,7,1,1,2,0,0.72,0.09,0.81,0.63,0.72,6.3,5.5,1.5,7,0.57,0.14,0.7,0.5,0.63
Ibrahima Diallo\11ff3d56,fr FRA,MF,Southampton,eng Premier League,22-305,1999,13,5,595,6.6,0,1,0,0,0,0,0,0,0.15,0.15,0,0.15,0.3,0.3,0.5,0.8,0.05,0.08,0.13,0.05,0.13
Mouhamadou Diarra\6d0fe035,fr FRA,MF,Strasbourg,fr Ligue 1,18-004,2004,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stéphane Diarra\29939a1d,fr FRA,FWMF,Lorient,fr Ligue 1,23-029,1998,11,5,433,4.8,0,0,0,0,0,2,0,0,0,0,0,0,1,1,1.1,2.2,0.22,0.24,0.45,0.22,0.45
Raphael Dias Belloli\3423f250,br BRA,MFFW,Leeds United,eng Premier League,25-024,1996,17,17,1437,16,8,1,5,3,3,4,0,0.5,0.06,0.56,0.31,0.38,6.3,4,2.8,6.8,0.39,0.17,0.57,0.25,0.43
Rúben Dias\31c69ef1,pt POR,DF,Manchester City,eng Premier League,24-238,1997,20,19,1682,18.7,2,2,2,0,0,4,0,0.11,0.11,0.21,0.11,0.21,1.4,1.4,1.1,2.4,0.07,0.06,0.13,0.07,0.13
Krepin Diatta\8104e41e,sn SEN,MFDF,Monaco,fr Ligue 1,22-316,1999,8,3,285,3.2,1,0,1,0,0,0,0,0.32,0,0.32,0.32,0.32,0.2,0.2,0.1,0.3,0.07,0.04,0.11,0.07,0.11
Amadou Diawara\bf309d24,gn GUI,MF,Roma,it Serie A,24-174,1997,4,2,170,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.01,0.03,0.03,0.01,0.03
Brahim Díaz\407feb71,es ESP,MF,Milan,it Serie A,22-157,1999,16,14,1043,11.6,3,3,3,0,0,2,0,0.26,0.26,0.52,0.26,0.52,4.2,4.2,1.4,5.5,0.36,0.12,0.48,0.36,0.48
Víctor Díaz\3624ce4c,es ESP,DF,Granada,es La Liga,33-209,1988,11,7,645,7.2,0,0,0,0,0,1,0,0,0,0,0,0,0.5,0.5,0,0.5,0.07,0,0.08,0.07,0.08
Daniel Didavi\d3096421,de GER,FWMF,Stuttgart,de Bundesliga,31-320,1990,10,2,277,3.1,0,1,0,0,0,1,0,0,0.32,0.32,0,0.32,1,1,0.8,1.7,0.32,0.25,0.57,0.32,0.57
Bamba Dieng\40774c6b,sn SEN,FWMF,Marseille,fr Ligue 1,21-290,2000,14,7,528,5.9,4,0,4,0,0,0,1,0.68,0,0.68,0.68,0.68,4.2,4.2,0,4.2,0.71,0,0.71,0.71,0.71
Eric Dier\ac861941,eng ENG,DF,Tottenham,eng Premier League,27-357,1994,18,18,1541,17.1,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,1.3,1.7,0.02,0.08,0.1,0.02,0.1
Elhadji Dieye\6a04bb7c,sn SEN,MFDF,Saint-Étienne,fr Ligue 1,19-216,2002,3,0,18,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0.05,0.05,0.05
Lucas Digne\1b84dbe1,fr FRA,DF,Everton,eng Premier League,28-171,1993,13,13,1170,13,0,0,0,0,0,4,0,0,0,0,0,0,0.4,0.4,1.7,2.1,0.03,0.13,0.16,0.03,0.16
Virgil van Dijk\e06683ca,nl NED,DF,Liverpool,eng Premier League,30-183,1991,18,18,1620,18,1,1,1,0,0,2,0,0.06,0.06,0.11,0.06,0.11,1.4,1.4,0.1,1.5,0.08,0,0.08,0.08,0.08
Mitchell Dijks\0a3065c8,nl NED,DF,Bologna,it Serie A,28-332,1993,5,1,145,1.6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.1,0.1,0,0.04,0.04,0,0.04
Javairô Dilrosun\34a0f5ff,nl NED,FWMF,Bordeaux,fr Ligue 1,23-199,1998,15,10,825,9.2,0,3,0,0,0,2,0,0,0.33,0.33,0,0.33,1.1,1.1,1.6,2.7,0.12,0.18,0.29,0.12,0.29
Javairô Dilrosun\34a0f5ff,nl NED,FW,Hertha BSC,de Bundesliga,23-199,1998,2,1,138,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0.02,0.02,0.02
Federico Dimarco\970b8574,it ITA,DF,Inter,it Serie A,24-058,1997,18,6,739,8.2,2,2,2,0,1,0,0,0.24,0.24,0.49,0.24,0.49,2.4,1.6,2.8,4.4,0.29,0.34,0.63,0.19,0.54
Landry Dimata\b5f63410,be BEL,FWMF,Espanyol,es La Liga,24-128,1997,13,3,393,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.7,0.2,0.9,0.16,0.05,0.21,0.16,0.21
Stole Dimitrievski\fc70e345,mk MKD,GK,Rayo Vallecano,es La Liga,28-013,1993,18,17,1602,17.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Junior Dina Ebimbe\95bb6ddc,fr FRA,MF,Paris S-G,fr Ligue 1,21-047,2000,7,3,232,2.6,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.04,0.02,0.06,0.04,0.06
Tristan Dingomé\92b56413,cm CMR,MFFW,Troyes,fr Ligue 1,30-324,1991,12,7,585,6.5,2,4,2,0,0,2,0,0.31,0.62,0.92,0.31,0.92,0.5,0.5,1.8,2.3,0.08,0.28,0.36,0.08,0.36
Sinaly Diomande\6de23ab0,ci CIV,DF,Lyon,fr Ligue 1,20-273,2001,10,5,578,6.4,0,0,0,0,0,2,0,0,0,0,0,0,0.3,0.3,0,0.3,0.04,0,0.04,0.04,0.04
Issa Diop\a712ca2b,fr FRA,DF,West Ham,eng Premier League,24-363,1997,6,6,540,6,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.01,0,0.01,0.01,0.01
Sofiane Diop\19053e31,fr FRA,FWMF,Monaco,fr Ligue 1,21-212,2000,18,15,1209,13.4,5,2,5,0,0,4,0,0.37,0.15,0.52,0.37,0.52,3.5,3.5,1.6,5.1,0.26,0.12,0.38,0.26,0.38
Andy Diouf\9b5237b1,fr FRA,MF,Rennes,fr Ligue 1,19-235,2002,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assane Dioussé\7f622eef,sn SEN,MF,Saint-Étienne,fr Ligue 1,24-109,1997,2,0,11,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Axel Disasi\ad82197c,fr FRA,DF,Monaco,fr Ligue 1,23-302,1998,16,14,1295,14.4,1,0,1,0,0,2,0,0.07,0,0.07,0.07,0.07,1.2,1.2,0.1,1.4,0.08,0.01,0.09,0.08,0.09
Filippo Distefano\2110f96c,it ITA,FW,Fiorentina,it Serie A,18-132,2003,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matías Dituro\b6160ad0,ar ARG,GK,Celta Vigo,es La Liga,34-244,1987,19,19,1710,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tiago Djaló\b2336681,pt POR,DF,Lille,fr Ligue 1,21-273,2000,14,13,1199,13.3,1,1,1,0,0,3,0,0.08,0.08,0.15,0.08,0.15,0.8,0.8,0.2,1,0.06,0.02,0.08,0.06,0.08
Djené\a4971d84,tg TOG,DF,Getafe,es La Liga,30-007,1991,17,17,1495,16.6,0,0,0,0,0,5,1,0,0,0,0,0,0.1,0.1,0.1,0.2,0,0.01,0.01,0,0.01
Moussa Djenepo\254147d4,ml MLI,MF,Southampton,eng Premier League,23-206,1998,8,5,430,4.8,0,0,0,0,0,3,0,0,0,0,0,0,1.5,1.5,0.2,1.7,0.31,0.05,0.36,0.31,0.36
Koffi Djidji\933d3b51,ci CIV,DF,Torino,it Serie A,29-038,1992,14,14,1090,12.1,0,0,0,0,0,4,1,0,0,0,0,0,0.2,0.2,0.1,0.3,0.02,0.01,0.02,0.02,0.02
Alexander Djiku\43e7a164,gh GHA,DF,Strasbourg,fr Ligue 1,27-151,1994,16,16,1397,15.5,0,0,0,0,0,7,1,0,0,0,0,0,1.4,1.4,0.4,1.8,0.09,0.02,0.11,0.09,0.11
Bryan Djile Nokoué\75186a6a,cm CMR,DFMF,Saint-Étienne,fr Ligue 1,19-229,2002,2,0,57,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Berat Djimsiti\6eee05f1,al ALB,DF,Atalanta,it Serie A,28-322,1993,14,11,1014,11.3,0,1,0,0,0,2,0,0,0.09,0.09,0,0.09,0.4,0.4,0.5,0.9,0.03,0.04,0.08,0.03,0.08
Ouparine Djoco\62124972,sn SEN,GK,Clermont Foot,fr Ligue 1,23-260,1998,5,5,450,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Naïs Djouahra\3594a357,fr FRA,MF,Real Sociedad,es La Liga,22-045,1999,1,0,15,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0.16,0,0.16
Marko Dmitrović\ac295d9e,rs SRB,GK,Sevilla,es La Liga,29-348,1992,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lewis Dobbin\e814e1cf,eng ENG,FWMF,Everton,eng Premier League,19-004,2003,3,0,32,0.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matt Doherty\d557d734,ie IRL,DF,Tottenham,eng Premier League,29-356,1992,4,0,102,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.7,0.1,0.8,0.6,0.11,0.71,0.6,0.71
Jeremy Doku\fffea3e5,be BEL,FWMF,Rennes,fr Ligue 1,19-225,2002,6,2,203,2.3,1,0,1,0,0,1,0,0.44,0,0.44,0.44,0.44,0.7,0.7,0.2,0.9,0.31,0.08,0.39,0.31,0.39
Kasper Dolberg\cc83b74d,dk DEN,FW,Nice,fr Ligue 1,24-093,1997,14,10,802,8.9,4,1,3,1,1,0,0,0.45,0.11,0.56,0.34,0.45,3.9,3.1,0.3,3.4,0.43,0.03,0.46,0.35,0.38
Brandon Domingues\2a00c6c0,fr FRA,FWMF,Troyes,fr Ligue 1,21-215,2000,9,0,100,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.2,0.7,0.41,0.21,0.62,0.41,0.62
Carlos Dominguez\3521abfe,es ESP,DF,Celta Vigo,es La Liga,21-006,2001,3,2,182,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicolás Domínguez\20b3a502,ar ARG,MF,Bologna,it Serie A,23-193,1998,18,18,1504,16.7,0,3,0,0,0,7,0,0,0.18,0.18,0,0.18,0.8,0.8,1.2,2,0.05,0.07,0.12,0.05,0.12
Anastasios Donis\0f26fd24,gr GRE,FWMF,Reims,fr Ligue 1,25-131,1996,8,2,238,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.7,0.2,0.9,0.27,0.08,0.35,0.27,0.35
Gianluigi Donnarumma\08f5afaa,it ITA,GK,Paris S-G,fr Ligue 1,22-316,1999,8,8,720,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niklas Dorsch\7f73bdf4,de GER,MF,Augsburg,de Bundesliga,23-357,1998,14,12,1098,12.2,1,0,1,0,0,3,0,0.08,0,0.08,0.08,0.08,0.1,0.1,0.1,0.2,0.01,0.01,0.02,0.01,0.02
Gabriel Dos Santos\67ac5bb8,br BRA,DF,Arsenal,eng Premier League,24-019,1997,17,17,1476,16.4,2,0,2,0,0,4,1,0.12,0,0.12,0.12,0.12,0.9,0.9,0.3,1.2,0.05,0.02,0.07,0.05,0.07
Jodel Dossou\a1dbfcb1,bj BEN,FW,Clermont Foot,fr Ligue 1,29-296,1992,18,13,1126,12.5,1,1,1,0,0,1,0,0.08,0.08,0.16,0.08,0.16,3.3,3.3,2.1,5.4,0.26,0.17,0.43,0.26,0.43
Lucas Douath\3cd7820a,fr FRA,MF,Saint-Étienne,fr Ligue 1,18-155,2003,13,6,625,6.9,0,0,0,0,0,3,0,0,0,0,0,0,0.4,0.4,0,0.4,0.06,0,0.06,0.06,0.06
Abdoulaye Doucouré\02b29014,fr FRA,MF,Everton,eng Premier League,29-006,1993,14,14,1260,14,2,4,2,0,0,4,0,0.14,0.29,0.43,0.14,0.43,1.9,1.9,1.2,3,0.13,0.08,0.22,0.13,0.22
Cheick Doucouré\ce4f40c7,ml MLI,MF,Lens,fr Ligue 1,21-364,2000,16,16,1404,15.6,0,3,0,0,0,3,1,0,0.19,0.19,0,0.19,0.9,0.9,1.4,2.3,0.06,0.09,0.15,0.06,0.15
Fodé Doucouré\1bfe34dc,ml MLI,DF,Reims,fr Ligue 1,20-338,2001,3,1,154,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.02,0.02,0.04,0.02,0.04
Souleyman Doumbia\9daeac61,ci CIV,DF,Angers,fr Ligue 1,25-105,1996,13,13,1037,11.5,0,0,0,0,0,4,0,0,0,0,0,0,0.4,0.4,0.6,0.9,0.03,0.05,0.08,0.03,0.08
Kieran Dowell\2f6ec02a,eng ENG,MFFW,Norwich City,eng Premier League,24-089,1997,8,4,316,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.6,0.7,0.03,0.17,0.2,0.03,0.2
Bartłomiej Drągowski\085e71a7,pl POL,GKDF,Fiorentina,it Serie A,24-141,1997,5,5,376,4.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Radu Drăgușin\620922ed,ro ROU,DF,Sampdoria,it Serie A,19-338,2002,11,2,440,4.9,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.02,0.01,0.04,0.02,0.04
Cody Drameh\e0d1510a,eng ENG,DF,Leeds United,eng Premier League,20-030,2001,3,1,128,1.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.01
Julian Draxler\1a992676,de GER,FWMF,Paris S-G,fr Ligue 1,28-109,1993,10,4,371,4.1,2,1,2,0,0,0,0,0.49,0.24,0.73,0.49,0.73,1.4,1.4,0.9,2.3,0.33,0.23,0.55,0.33,0.55
Domingos Duarte\93090f69,pt POR,DF,Granada,es La Liga,26-303,1995,7,7,616,6.8,1,0,1,0,0,3,0,0.15,0,0.15,0.15,0.15,0.3,0.3,0,0.3,0.05,0,0.05,0.05,0.05
Óscar Duarte\aa0ac32d,cr CRC,DF,Levante,es La Liga,32-218,1989,10,9,814,9,0,0,0,0,0,1,0,0,0,0,0,0,0.4,0.4,0.2,0.5,0.04,0.02,0.06,0.04,0.06
