Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK_90,xG,npxG,xA,npxG+xA,xG_90,xA_90,xG+xA_90,npxG_90,npxG+xA_90
Daniel Bessa\88895312,it ITA,MFFW,Hellas Verona,it Serie A,28-358,1993,11,2,336,3.7,1,0,1,0,0,2,1,0.27,0,0.27,0.27,0.27,0.3,0.3,0.2,0.5,0.07,0.06,0.13,0.07,0.13
Beto\ed5c0319,gw GNB,FW,Udinese,it Serie A,23-341,1998,16,13,1247,13.9,7,0,7,0,0,1,0,0.51,0,0.51,0.51,0.51,6.4,6.4,0.8,7.2,0.46,0.06,0.52,0.46,0.52
Louis Beyer\9af1f9ff,de GER,DF,M'Gladbach,de Bundesliga,21-233,2000,6,6,540,6,0,0,0,0,0,3,0,0,0,0,0,0,0.4,0.4,0.1,0.4,0.06,0.01,0.07,0.06,0.07
Giulian Biancone\de40e38c,fr FRA,DF,Troyes,fr Ligue 1,21-282,2000,17,14,1241,13.8,0,2,0,0,0,5,0,0,0.15,0.15,0,0.15,1.3,1.3,0.8,2.1,0.09,0.06,0.15,0.09,0.15
Mads Bidstrup\407db0d5,dk DEN,MF,Brentford,eng Premier League,20-316,2001,4,0,41,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pedro Bigas\697295b1,es ESP,DF,Elche,es La Liga,31-114,1990,10,10,817,9.1,0,0,0,0,0,2,0,0,0,0,0,0,0.2,0.2,0.1,0.3,0.02,0.01,0.04,0.02,0.04
El Bilal Touré\47c609d5,ml MLI,FW,Reims,fr Ligue 1,20-096,2001,14,10,815,9.1,1,2,0,1,1,2,0,0.11,0.22,0.33,0,0.22,3.2,2.4,0.7,3.1,0.35,0.08,0.43,0.27,0.34
Jean-Claude Billong\a3e1d20d,cm CMR,DF,Clermont Foot,fr Ligue 1,28-010,1993,7,4,424,4.7,0,0,0,0,0,1,0,0,0,0,0,0,0.2,0.2,0,0.2,0.03,0,0.03,0.03,0.03
Luis Binks\36e88fbc,eng ENG,DF,Bologna,it Serie A,20-127,2001,7,1,161,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.01
Cristiano Biraghi\9e1577aa,it ITA,DF,Fiorentina,it Serie A,29-128,1992,18,18,1523,16.9,2,0,1,1,1,4,1,0.12,0,0.12,0.06,0.06,1.7,1,1.8,2.8,0.1,0.11,0.21,0.06,0.16
Davide Biraschi\64cd167d,it ITA,DF,Genoa,it Serie A,27-189,1994,14,11,930,10.3,0,0,0,0,0,4,0,0,0,0,0,0,0.1,0.1,0.3,0.4,0.01,0.03,0.04,0.01,0.04
Yves Bissouma\6c203af0,ml MLI,MF,Brighton,eng Premier League,25-130,1996,14,14,1210,13.4,0,1,0,0,0,6,0,0,0.07,0.07,0,0.07,0.6,0.6,0.6,1.2,0.04,0.04,0.09,0.04,0.09
Nathan Bitu Mazala\0f697e02,fr FRA,DF,Paris S-G,fr Ligue 1,19-028,2002,1,0,11,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marco Bizot\3d214e5f,nl NED,GK,Brest,fr Ligue 1,30-303,1991,19,19,1710,19,0,1,0,0,0,1,0,0,0.05,0.05,0,0.05,0,0,0.3,0.3,0,0.01,0.01,0,0.01
Blanco\506daeac,es ESP,MF,Real Madrid,es La Liga,21-168,2000,1,0,31,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ludovic Blas\6191093d,fr FRA,MFFW,Nantes,fr Ligue 1,24-007,1997,17,17,1485,16.5,7,1,5,2,2,5,0,0.42,0.06,0.48,0.3,0.36,5.7,4.2,1.6,5.9,0.35,0.1,0.45,0.26,0.36
Danny Blum\eb61713c,de GER,FW,Bochum,de Bundesliga,31-000,1991,6,2,198,2.2,2,0,2,0,0,0,0,0.91,0,0.91,0.91,0.91,0.5,0.5,0.4,0.9,0.23,0.19,0.42,0.23,0.42
Myron Boadu\5b479568,nl NED,FW,Monaco,fr Ligue 1,20-358,2001,18,6,663,7.4,1,1,1,0,0,0,0,0.14,0.14,0.27,0.14,0.27,2.5,2.5,0.2,2.6,0.33,0.03,0.36,0.33,0.36
Jérôme Boateng\2db2fd7b,de GER,DF,Lyon,fr Ligue 1,33-126,1988,13,12,981,10.9,0,1,0,0,0,3,0,0,0.09,0.09,0,0.09,0,0,1.2,1.3,0,0.11,0.12,0,0.12
Kevin-Prince Boateng\f4ec4fd0,gh GHA,MFFW,Hertha BSC,de Bundesliga,34-307,1987,11,4,369,4.1,0,0,0,0,0,4,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.03,0.01,0.04,0.03,0.04
Antonin Bobichon\7d937aa1,fr FRA,MFFW,Angers,fr Ligue 1,26-115,1995,4,0,38,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Herbert Bockhorn\5ad8c360,de GER,DFMF,Bochum,de Bundesliga,26-341,1995,11,3,459,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,0.04,0.02,0.06,0.04,0.06
Jean-Paul Boëtius\635f2732,nl NED,MF,Mainz 05,de Bundesliga,27-291,1994,16,10,989,11,1,1,1,0,0,3,0,0.09,0.09,0.18,0.09,0.18,1.2,1.2,1.7,2.9,0.11,0.15,0.26,0.11,0.26
Jeremie Boga\fe012aca,ci CIV,FWMF,Sassuolo,it Serie A,25-004,1997,12,8,670,7.4,0,2,0,0,0,0,0,0,0.27,0.27,0,0.27,1,1,0.8,1.8,0.13,0.1,0.24,0.13,0.24
Luka Bogdan\cb678320,hr CRO,DF,Salernitana,it Serie A,25-287,1996,5,3,309,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.01,0.01,0.02,0.01,0.02
Quentin Boisgard\f6496133,fr FRA,MF,Lorient,fr Ligue 1,24-296,1997,11,3,348,3.9,0,0,0,0,0,2,0,0,0,0,0,0,0.3,0.3,1.6,1.9,0.09,0.4,0.49,0.09,0.49
Charles Boli\bbdd999a,fr FRA,MF,Lens,fr Ligue 1,23-130,1998,4,0,32,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0.13,0,0.13
Giacomo Bonaventura\d995ed27,it ITA,MF,Fiorentina,it Serie A,32-138,1989,19,18,1454,16.2,2,2,2,0,0,4,0,0.12,0.12,0.25,0.12,0.25,2.5,2.5,1.7,4.2,0.15,0.11,0.26,0.15,0.26
Federico Bonazzoli\bf57eaab,it ITA,FW,Salernitana,it Serie A,24-231,1997,16,8,894,9.9,3,0,2,1,1,4,0,0.3,0,0.3,0.2,0.2,1.7,0.9,0.5,1.4,0.17,0.05,0.22,0.1,0.14
Kevin Bonifazi\fb77bfef,it ITA,DF,Bologna,it Serie A,25-233,1996,10,7,626,7,0,0,0,0,0,2,0,0,0,0,0,0,0.2,0.2,0.1,0.4,0.03,0.02,0.05,0.03,0.05
Solomon Bonnah\dd7b6eb8,nl NED,DF,RB Leipzig,de Bundesliga,18-141,2003,1,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leonardo Bonucci\52ec54d0,it ITA,DF,Juventus,it Serie A,34-251,1987,15,15,1350,15,3,0,0,3,3,1,0,0.2,0,0.2,0,0,3.8,1.5,0.4,1.9,0.25,0.02,0.28,0.1,0.13
Sebastiaan Bornauw\01834aa0,be BEL,DF,Wolfsburg,de Bundesliga,22-291,1999,12,9,787,8.7,0,0,0,0,0,3,0,0,0,0,0,0,0.6,0.6,0.1,0.7,0.07,0.01,0.08,0.07,0.08
Rafael Borré\c68da769,co COL,FW,Eint Frankfurt,de Bundesliga,26-114,1995,17,15,1325,14.7,4,3,4,0,0,2,0,0.27,0.2,0.48,0.27,0.48,6.3,6.3,1.7,8.1,0.43,0.12,0.55,0.43,0.55
Sven Botman\ccce7025,nl NED,DF,Lille,fr Ligue 1,21-360,2000,12,12,1080,12,1,1,1,0,0,1,0,0.08,0.08,0.17,0.08,0.17,0.7,0.7,0.1,0.8,0.06,0.01,0.06,0.06,0.06
Denis Bouanga\0b0cbe5b,ga GAB,FWMF,Saint-Étienne,fr Ligue 1,27-057,1994,17,13,1096,12.2,3,0,3,0,0,2,1,0.25,0,0.25,0.25,0.25,3.8,3.8,0.8,4.6,0.31,0.06,0.38,0.31,0.38
Hicham Boudaoui\f9d5908e,dz ALG,MF,Nice,fr Ligue 1,22-106,1999,13,10,790,8.8,2,1,2,0,0,4,0,0.23,0.11,0.34,0.23,0.34,0.7,0.7,1.7,2.4,0.07,0.19,0.27,0.07,0.27
Ryad Boudebouz\1001ae82,dz ALG,MFFW,Saint-Étienne,fr Ligue 1,31-322,1990,14,11,967,10.7,0,1,0,0,0,1,0,0,0.09,0.09,0,0.09,0.4,0.4,1.6,2.1,0.04,0.15,0.19,0.04,0.19
Sofiane Boufal\b0c71810,ma MAR,FWMF,Angers,fr Ligue 1,28-112,1993,18,17,1437,16,5,3,3,2,2,4,0,0.31,0.19,0.5,0.19,0.38,5.5,4,3.9,7.9,0.35,0.25,0.59,0.25,0.5
